,Vocab,Meaning
FALSE,Section 1,
TRUE,Cosmopolitan,adj 见多识广的，游历四方的，来自世界各地的
TRUE,Capricious,Adj 多变的，变化多的
TRUE,insular,Adj 孤立的
TRUE,Mercenary,Adj 唯利是图的
TRUE,empirical,adj 基于观察经验的，实验表明的
TRUE,Intransigent,Adj 坚持的，不妥协的
TRUE,Clamorous,Adj 吵闹的
TRUE,Prescient,Adj 预见性的
TRUE,numinous,Adj 超自然的
TRUE,Sonorous,adj 大，好，高兴的声音
TRUE,dearth,n 匮乏
FALSE,invidious,Adj 引起反感的
TRUE,gainsay,v 否认
TRUE,adhoc,Adj 临时决定的
TRUE,sterling,Adj 优秀的
TRUE,exhaustive,adj 彻底穷尽的
FALSE,fickle,adj 多变的
TRUE,antiquarian,Adj 古文物研究的
TRUE,Succumb,v屈服于
TRUE,recoil,v 畏缩
TRUE,archaic,Adj 过时的，旧的
TRUE,epilogue,N 电影书籍的尾声
TRUE,hyperbole,n 夸张
TRUE,apathetic,Adj 冷淡的，无趣的
FALSE,Section 2,
TRUE,Impenetrable ,adj 无法理解的
TRUE,Didactic,Adj 说教的
TRUE,Self-perpetuating ,adj 自我持续的
TRUE,Lop-sided,adj 不公平
TRUE,feeble,adj 虚弱的
TRUE,Unimpeded,Adj 未受到妨碍的
TRUE,Ameliorate/meliorate,v 改善
TRUE,honorific,Adj 尊敬的
TRUE,Malign,Adj 有害的
FALSE,brook,v 忍受
FALSE,repudiate,v 拒绝接受，与…断绝关系
TRUE,regurgitate,v 反刍
TRUE,fecundity,N多产，肥沃
TRUE,sanguinity,N 乐天，自信
TRUE,verisimilitude,N 真实性
TRUE,cordiality,N有好的
TRUE, irascibility,N易怒
TRUE, conviviality,N 欢乐高兴宴请四方
TRUE,diffidence,N 羞怯
TRUE,exasperation,N 恼怒
FALSE,Section 3 ,
TRUE,Contemptuous ,Adj 蔑视的
TRUE,decry,v谴责
TRUE,condone,v宽恕与condemn区分一下
TRUE,downplay,v轻描淡写
TRUE,loath,Adj 不情愿的
TRUE,emulate,v模拟
TRUE,censure,v批评
FALSE,ambivalence,N矛盾
TRUE,supplant,v代替
TRUE,sift,v筛选
TRUE,Neophyte,N新手
TRUE,novice,N新手
TRUE,convoluted,Adj 复杂的
TRUE,culinary,Adj 食物的
TRUE,unwarranted,Adj 没有根据的，未经过授权的
FALSE,Section 4,
TRUE,motley,Adj 混杂的，由多个事物组成的
TRUE,Anomalous,Adj反常的
TRUE,Haphazard,Adj杂乱的，无计划的，没有调理的
TRUE,“mar”,v破坏
FALSE,nepotistic,Adj裙带关系
TRUE,Partisanship,N偏袒
TRUE,vacillate,v犹豫不决
TRUE,contagious,Adj有感染力的
TRUE,Flippancy,N轻率无礼的
TRUE,tendentious,Adj 有偏见的，有倾向的
TRUE,Discursion,N漫谈离题
TRUE,stigma,N恨意，很严重的偏见
TRUE,Blemish,N瑕疵
TRUE,Hodgepodge,N大杂烩
TRUE,patchwork,N大杂烩
TRUE,fractious,Adj易怒的
TRUE,disparate,adj 不同的
TRUE,mediocre,Adj普通一般的
FALSE,Section 5,
TRUE,enigmatic,Adj 迷一般的
TRUE,Impetuous,Adj 轻率的，冲动的，鲁莽的
TRUE,Boorish,Adj粗鲁，乡土气息的
TRUE,circumspect,Adj 谨慎的，考虑周到的，慎重的
TRUE,glean,v收集
TRUE,jettison,v拒绝
TRUE,contrive,v设法做到
TRUE,calamitous,Adj灾难的
TRUE,dichotomous,Adj有分歧的
TRUE,subvert,v颠覆，破坏
TRUE,efficacious,Adj有效的
TRUE,Trifling,Adj不重要的
TRUE,Precarious,Adj危险的
TRUE,deleterious,Adj有害的
TRUE,inbreed,v近亲繁殖
FALSE,Section 6,
TRUE,Incommensurable ,Adj不能相比的
TRUE,Anachronistic,Adj 过去的，时代错误的
TRUE,innocuous,Adj平淡乏味的
TRUE,acrimony,N 尖锐，犀利
TRUE,dissension,N意见分歧
TRUE,comity,N友好，和谐
TRUE,conformity,N遵从，一致
TRUE,mordancy,N尖酸刻薄
TRUE,extrapolate,v推测
TRUE,Insurmountable ,Adj 无法解决的，无法战胜的（问题，困难）
TRUE,steadfast,adj 坚定不移的
TRUE,improvise,v即兴表演
TRUE,oust,v逐出
TRUE,Sanction,v制裁
TRUE,Coagulation ,v凝结
TRUE,nullify,v使无效
TRUE,obviate,v避免
TRUE,mitigate,v减少，减轻
TRUE,belie,v掩盖，证明…错误
TRUE,accentuate,v强调
TRUE,quirky,adj 奇怪的，in an interesting way，古怪，离奇
FALSE,undue,Adj 过度的
FALSE,Section 7,
TRUE,Felicitous,Adj恰当的，善于措辞的，幸福的
TRUE,eclipse,v丧失，超过
TRUE,bolster,v支持
TRUE,corroborate,v为了支持，或者帮助证明，从而提供证据 证实，使坚定
TRUE,outstrip,v超过，优于
TRUE,erudite,Adj 博学的
